id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1 as stated in the provided chunks, with all details supported.",5,The answer directly and completely addresses the question by providing both the initial response time and the resolution time for ticket P1.,5,Retrieved: 1/1 expected sources,5,,variant_dense_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the chunks, specifically stating that customers can request a refund within 7 working days from the order confirmation.",5,The model answer directly and completely answers the question about the timeframe for requesting a refund.,5,Retrieved: 1/1 expected sources,5,,variant_dense_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",2,"The answer incorrectly states that Level 3 requires approval from Line Manager, IT Admin, and IT Security, while the provided chunks do not specify the approval process for Level 3.",5,The answer directly and completely addresses the question by specifying the required approvals for Level 3 access.,5,Retrieved: 1/1 expected sources,5,,variant_dense_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",4,"The answer correctly states that digital products are not refundable, but it does not clearly mention the specific condition regarding manufacturer defects, which is only implied in the chunks.",4,"The answer correctly states that digital products are generally non-refundable, but it introduces an exception for manufacturer errors, which is not mentioned in the expected answer.",5,Retrieved: 1/1 expected sources,4,"The model answer does not explicitly mention that digital products are exceptions to the refund policy, which is a key point in the expected answer.",variant_dense_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"The answer accurately states that the account is locked after 5 consecutive failed login attempts and provides a method to unlock it, which is supported by the provided chunks.",5,The answer directly and completely addresses the question about account lockout after failed login attempts.,5,Retrieved: 1/1 expected sources,5,None,variant_dense_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra tự động lên Senior Engineer nếu không có phản hồi trong 10 phút. Ngoài ra, quy trình escalation khẩn cấp cho phép On-call IT Admin cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời, và mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit [1][2].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the information provided in the chunks, including the automatic escalation to Senior Engineer and the emergency escalation process for On-call IT Admin, along with the requirement for logging temporary permissions.",5,"The answer directly and completely addresses the escalation process for P1 incidents, including the automatic escalation to a Senior Engineer and additional details about emergency escalation procedures.",5,Retrieved: 1/1 expected sources,4,"The model answer includes additional information about the escalation process for On-call IT Admin and temporary permissions, which is not present in the expected answer.",variant_dense_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Không đủ dữ liệu.,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer correctly states that there is not enough information in the provided context, and this is supported by the chunks.",5,The answer directly and completely addresses the question by providing the current name of the document related to the approval matrix for system access.,5,Retrieved: 1/1 expected sources,1,"The model answer does not mention the name change from 'Approval Matrix for System Access' to 'Access Control SOP', which is the key information in the expected answer.",variant_dense_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi qua probation period, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the information provided in the chunks regarding remote work conditions and approval processes.,5,The model answer directly and completely answers the question regarding the maximum number of remote days allowed per week for employees after the probation period.,5,Retrieved: 1/1 expected sources,4,"The model answer does not explicitly mention that the remote work schedule must be approved by the Team Lead, only that it needs to be approved through the HR Portal.",variant_dense_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer correctly states that there is not enough information in the provided context, and the chunks do not contain the requested fact.",4,Abstain đúng nhưng còn hơi cụt,4,No expected sources; retrieved chunks exist but no source was required,4,"Đúng ý nhưng còn ngắn, chưa giải thích đủ",variant_dense_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không đủ dữ liệu.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"The answer correctly states that there is not enough information in the provided context, and the chunks do not contain the requested fact.",5,The answer directly addresses the question by stating that there is no special procedure for VIP customers and that all refund requests follow the standard process.,5,Retrieved: 1/1 expected sources,1,The model answer does not address the specific inquiry about the refund policy for VIP customers and fails to mention the standard processing time of 3-5 business days.,variant_dense_rerank
